,income
14090,1
10713,1
19012,1
11699,1
18999,0
12174,0
24231,1
2852,1
3814,1
31857,1
25048,1
21193,0
7527,1
11547,1
1951,1
9462,1
25907,1
13953,1
26017,0
29137,1
5655,1
10438,0
9542,1
5108,0
30083,1
24150,1
30433,1
11109,1
22980,1
4472,1
24000,1
23159,1
18647,1
2984,1
9899,1
13811,1
9480,1
7157,1
29621,1
27541,1
5937,0
8484,1
30549,0
10735,1
11590,1
7198,1
6283,1
30562,1
29174,1
21804,1
8295,1
28651,0
3118,1
12995,1
20611,1
20214,1
12523,1
21935,1
31872,0
14355,1
27120,0
4351,0
22546,0
2558,1
10861,1
15947,1
8974,1
25282,1
10916,1
6068,1
22988,1
16803,0
27965,1
20067,1
4366,0
10215,1
3273,0
30974,1
31523,0
799,0
23376,1
17695,1
24790,0
17450,1
26835,1
5686,1
5280,1
19604,1
21307,0
20613,0
5219,1
30937,1
28958,1
28504,1
7920,1
13599,0
11239,1
27738,0
4885,0
17964,1
31351,1
32272,0
22012,1
24537,1
18334,1
27148,1
22657,1
1721,1
28727,1
2075,1
29702,1
99,1
21069,1
203,1
5500,1
31048,1
7939,1
24495,1
23968,0
19932,1
345,1
32409,1
5165,1
15367,1
4687,1
22835,1
30573,1
209,1
3081,1
12209,1
19967,1
12725,0
2743,1
26714,1
31861,1
23614,1
23041,0
19774,1
8463,0
823,1
17578,0
8616,1
17719,1
14518,0
1899,1
30796,1
19825,1
1142,1
29968,1
2666,1
22496,1
12088,1
18806,1
6825,1
19990,1
28437,1
21960,0
19923,0
23540,1
23334,0
23012,1
5227,0
30522,0
26539,1
14573,0
19511,1
5154,1
29873,0
14591,1
26914,1
22744,1
14181,1
11920,0
4093,1
8967,0
17055,1
10962,0
14990,0
1963,0
6787,0
29246,1
25872,1
5250,1
8775,1
4826,1
20965,1
29524,1
24865,1
22386,1
32110,1
23102,1
20242,0
22039,1
24946,1
3197,1
21222,1
24144,1
10079,0
10626,0
20618,1
27199,1
29188,0
22834,1
21189,0
4237,1
7689,1
16166,1
23507,1
18988,1
3015,1
28386,1
19976,1
24690,1
22452,0
31213,1
17851,1
17273,1
13239,1
25301,1
12747,1
32416,0
15904,0
21682,1
21014,0
14736,0
7083,0
9920,0
17586,1
20916,1
31801,1
9067,1
27705,1
7199,0
17458,1
20308,1
14078,1
23222,0
23972,1
26884,1
5405,0
32381,1
15912,1
17575,1
3358,0
28880,0
29999,1
28669,0
7465,0
19241,1
18,1
28214,0
19822,0
22818,1
24780,0
5864,1
14961,1
17653,0
27306,1
2657,1
9499,1
20866,1
19435,1
9963,1
11974,0
1627,0
2185,1
16918,0
29504,0
29058,1
31489,0
23359,1
16167,0
19213,1
2466,1
12058,0
24398,1
27062,1
1956,1
14774,0
23884,1
21029,0
7563,1
10132,1
20863,1
11449,1
28471,0
15329,1
1419,1
22895,1
15709,1
16933,1
6391,0
2978,1
10917,1
28883,1
8445,1
2777,1
21278,1
16789,0
27043,1
18290,1
4978,0
2388,1
11035,1
1853,1
27799,1
1406,1
5923,1
30921,0
8685,1
27763,1
23523,0
5878,1
23731,1
30348,0
5101,0
30725,1
14261,1
25531,1
19419,0
21048,1
9006,1
426,1
31851,0
25039,0
21854,1
31508,1
21583,1
27006,1
4485,1
8567,1
24472,0
22300,1
19901,0
24242,1
1736,1
29992,1
26352,0
10466,1
23991,1
17559,1
21780,1
20680,1
13225,1
28118,1
17618,1
27716,1
12100,1
31532,1
29025,1
10717,1
525,1
841,1
13706,1
8610,0
31516,0
21566,0
26950,0
8576,1
8448,0
25332,0
13698,1
31603,1
14579,0
15114,1
30084,1
21130,1
2428,1
21942,1
15315,0
29117,0
13022,1
30733,1
3031,1
27735,0
14914,1
3903,1
7257,1
16806,0
31126,0
2525,1
17727,1
6016,0
7498,0
15121,0
1962,0
10651,1
7728,1
14228,0
8162,1
23594,1
13841,0
18796,1
6221,1
31954,1
15353,1
15966,0
30321,1
15497,0
30771,1
3700,0
32219,1
4275,1
18478,1
22809,1
7952,1
27311,1
3501,1
19892,1
26444,1
29449,1
24314,1
24388,1
25094,1
28540,1
12979,0
25229,1
27093,1
3465,1
4097,0
30797,1
15518,1
21689,1
8998,1
20845,1
15094,1
24421,1
27413,0
27389,1
16655,0
3939,1
20512,0
3855,1
30203,0
32060,1
1895,0
24903,1
8498,1
5403,1
15035,0
1822,1
23034,1
129,1
9133,1
11503,1
5505,1
4494,1
6949,1
25431,1
5719,1
4349,0
20292,0
15175,1
17873,1
10982,1
19033,1
25243,0
30905,1
22439,0
23441,0
30502,1
3421,1
12648,1
8137,1
30340,1
565,1
415,0
6920,1
29515,1
27171,1
24487,1
10434,1
6532,1
29240,1
25947,0
16908,0
2671,1
12254,1
27895,1
12119,1
474,1
25715,0
27820,1
181,1
13623,1
8194,1
25873,1
4341,0
11781,0
28934,1
25909,0
3932,0
22222,1
23846,1
5119,1
23956,1
19142,1
23791,1
32309,1
741,1
22431,1
19370,0
18918,0
9392,0
25132,1
2317,1
22408,1
14708,1
8120,1
19598,1
9443,1
10310,1
31477,1
497,1
8865,1
13148,1
17191,1
4775,1
30512,1
22270,1
8703,1
11753,0
25747,1
27747,1
11052,1
8250,1
1306,1
21628,1
24306,0
25731,1
20354,1
7805,0
2899,1
20554,1
10968,1
2150,1
8045,1
22410,1
29941,0
10336,1
8117,0
31227,0
32160,1
17596,1
8759,1
29064,1
11492,1
2110,0
24115,1
2756,0
2642,1
9172,1
17490,1
4481,1
15182,1
11660,0
31874,1
21862,0
15031,1
6028,1
4576,1
1168,1
15986,1
6469,1
27430,1
19355,0
1519,1
5790,1
31735,1
9669,1
22590,0
31028,0
25147,0
26701,1
13893,1
909,1
13328,1
26196,1
15615,1
18533,1
17951,1
2197,1
26629,1
23361,0
32109,0
26457,0
12323,1
18312,1
10435,1
17676,1
18255,1
7267,1
11483,0
9835,1
13355,1
143,0
1454,0
21082,1
7534,1
7,0
5128,1
10528,0
32324,1
19961,1
19559,0
11548,1
19304,1
32139,0
8478,1
5138,1
7313,1
5649,0
19108,1
25412,1
21058,0
18967,1
13008,1
4457,1
29314,1
20824,1
4690,1
15494,0
24882,1
4610,1
10312,1
26022,1
20708,1
20667,1
20377,0
27625,1
9697,1
6228,1
14546,0
25845,1
28188,1
5511,1
4440,0
26580,1
19855,1
1049,0
12710,1
23442,1
10037,1
16643,0
15177,1
23393,1
15363,1
10185,0
27921,1
24078,1
22200,1
29912,1
11519,1
10526,1
8928,0
29485,1
2362,0
10493,0
9606,1
15289,1
19334,1
16716,0
23295,0
10842,0
25361,1
5506,1
17720,0
22471,1
13282,1
14798,1
30424,0
13575,1
9946,0
3742,1
5912,1
112,0
8881,1
23175,1
21447,1
4595,0
22443,0
12163,0
17242,1
20649,0
18762,1
900,1
29282,1
13854,1
25363,1
5682,0
26306,1
24180,0
21210,0
32247,0
8030,1
29371,1
2656,1
26637,0
7501,1
30292,1
12826,1
26840,0
15538,0
17480,1
17973,1
13931,1
9803,1
3666,0
13072,1
28789,1
7331,1
6970,1
19098,1
14272,1
11856,0
7907,1
31559,0
20417,0
17638,0
20146,1
11078,0
5323,1
13204,0
9953,1
4585,1
23702,1
12820,1
26839,1
9171,1
9904,1
19770,1
5924,1
16899,1
19261,1
18021,0
2207,1
11036,1
11137,1
7092,1
5641,1
15512,1
7276,1
17338,1
30572,0
14214,1
2419,1
14730,1
26649,1
30787,0
8542,1
28469,0
21759,1
19389,1
29068,1
14143,0
3626,1
12652,1
20841,1
8495,1
26706,1
19194,1
20570,1
16558,1
18743,1
4411,0
15156,1
30685,1
9747,1
19886,1
6637,0
32077,0
521,0
29330,1
7155,0
3768,1
28905,1
23671,0
6779,1
26413,1
9704,1
6944,1
27117,1
23909,1
22447,0
15786,1
24631,0
9749,1
703,1
1055,1
4649,1
20817,0
13071,1
24384,0
32047,1
28840,1
18808,1
8870,1
23265,1
27757,0
1094,1
10052,1
31525,1
4703,1
18045,1
4379,1
4476,1
27803,1
19048,1
19064,1
3513,0
352,0
27049,0
10507,1
18009,0
9374,1
5444,1
8323,1
19796,1
20380,1
30333,1
21542,1
2387,1
5170,1
8906,1
11553,1
15704,1
10930,1
21913,1
7878,0
22646,1
19086,1
25221,1
5205,1
26257,0
9914,1
17066,1
25212,1
12158,1
17360,0
10165,1
27359,1
5581,0
10202,0
32143,1
4920,1
17403,1
22117,1
28994,1
14668,0
9613,0
2992,1
16695,1
16853,1
17283,1
25143,1
1091,0
14790,1
32515,1
4300,1
29073,1
11849,1
22433,1
12249,1
20507,0
14017,0
30939,1
16742,0
28217,1
29000,1
144,1
30619,1
16478,1
9862,1
10742,1
3651,0
29093,0
3485,0
27275,1
15019,1
11017,0
17684,1
21890,1
18049,1
14918,1
22359,1
29657,0
23423,0
17327,0
340,1
158,1
19434,0
16576,0
16158,1
26968,1
14101,1
16320,0
27329,0
11136,1
6847,1
18000,1
10578,1
19771,1
7048,1
24410,1
29911,1
891,1
4876,1
20326,1
16434,1
3795,0
31909,1
28201,0
11862,1
8884,1
32503,1
15948,0
28406,1
3389,0
9326,1
23852,0
19510,1
1713,0
28397,0
19297,1
28003,1
2721,0
19925,0
30379,1
17553,1
25233,1
2731,0
27822,1
25533,1
25367,1
8821,1
6377,1
17593,1
20329,1
12581,1
12693,0
27445,1
23582,0
26957,0
15318,0
30131,1
6529,1
28563,0
24931,0
1096,1
17422,0
15360,1
28088,0
25354,1
1122,1
15951,1
2467,1
756,0
30639,0
12286,0
4040,1
13151,1
31392,1
1582,1
31654,0
32204,1
27964,1
3038,1
14669,1
3603,1
6008,0
20674,1
29703,1
11802,1
9136,1
16453,1
13936,1
17231,1
17081,1
15066,1
30510,1
27469,1
9179,0
13628,1
16994,1
2050,1
17552,1
26891,0
13742,1
6044,1
30057,1
16177,0
21441,1
14141,1
1535,1
24372,1
1700,1
22718,0
21530,0
5107,1
18016,0
6498,1
6289,0
5734,1
31702,1
3948,1
16525,1
13128,0
22347,1
26773,1
194,1
9858,1
22001,1
12999,1
8861,1
24321,0
6085,1
508,1
24681,1
22756,1
2351,0
1114,1
26618,1
9386,0
1546,1
31606,1
20277,0
14559,1
30979,0
14379,1
22283,1
21658,0
15308,1
32538,0
29948,1
1297,1
24094,1
31376,1
13462,1
29232,1
6748,1
4537,0
2790,1
11551,1
10889,1
30298,1
15653,1
4070,1
16894,1
30490,0
22989,1
19252,0
18690,1
4210,0
19959,1
29369,1
8144,0
2836,1
24270,0
5566,0
13692,1
20955,1
1413,0
6292,1
14832,1
22622,1
690,1
18426,1
21817,1
26834,1
14682,1
20548,1
27506,1
27977,1
27231,1
28458,1
5298,1
17921,0
30096,1
14218,1
31981,1
6677,0
27153,1
18799,1
16219,1
8121,0
8938,1
4429,1
32464,0
24863,1
30504,0
3405,1
9894,0
12924,0
10555,1
28874,1
27279,1
31,1
11860,1
23762,1
17443,1
19701,0
23307,1
3662,1
12173,0
23039,1
12414,1
10122,0
3999,1
30488,1
14670,1
4744,1
8986,1
2880,1
8041,1
32287,0
2029,1
22653,1
1044,1
1069,1
24926,1
8507,1
29895,1
26342,1
14221,1
26752,0
17915,1
28375,1
29483,1
6747,1
9502,0
25254,1
22957,1
12679,0
11907,1
18216,1
4794,1
11335,0
24573,1
26978,1
3249,0
3488,1
20402,1
17936,0
30712,1
23194,1
24608,1
1372,1
17592,1
9795,1
26367,1
6230,1
10863,1
12125,1
25732,0
10300,1
30459,1
21697,1
19081,1
28823,1
5664,1
4427,1
23306,1
7026,1
27866,1
27195,1
20540,1
11166,1
16745,1
15271,0
15211,0
12721,0
24638,0
31854,1
13100,1
30971,0
1552,1
16164,0
11248,1
8874,0
16896,1
3812,0
6006,1
10807,1
15525,1
1701,1
24625,0
26440,0
21232,1
4808,0
19216,1
11366,1
17153,0
29639,1
18385,0
28339,0
8065,1
27740,1
1753,1
21761,1
24511,0
31373,1
9413,1
24466,1
7056,1
22569,0
12597,0
11367,1
18152,1
10156,1
13685,1
12437,1
1649,1
16947,1
8205,0
4374,0
19938,0
150,1
32059,1
23725,0
15816,1
30153,1
30770,1
10604,1
2450,1
7889,1
10007,1
29268,0
8404,1
12731,1
7389,1
27804,1
27039,0
28362,0
3720,1
6188,1
19863,1
24342,1
10027,1
25710,1
13824,1
24961,0
5261,1
4022,1
8754,1
27435,0
17985,1
22207,1
2489,1
4886,1
5967,1
8220,1
11837,1
16570,1
30854,1
29660,1
9044,1
4533,0
18928,1
224,1
32149,1
30471,1
16272,1
12002,1
2837,1
24374,1
2819,1
31787,1
19082,1
31232,0
29653,0
9481,1
28609,1
24362,0
26769,0
18148,1
21220,1
3125,0
7488,1
8410,1
13610,0
30625,1
13578,1
20175,1
27479,1
3162,1
10040,1
2943,1
6758,0
26190,0
16501,1
2559,1
18921,1
30499,1
14266,0
21659,1
1904,0
2500,1
20652,1
6278,1
18382,1
8476,0
13149,1
24575,1
22806,0
27215,1
18359,1
26643,0
1786,0
14697,1
21387,1
20281,1
2718,1
22182,1
5795,1
22244,1
28724,0
31054,0
18652,1
21830,1
10568,1
7601,1
14840,1
14783,1
23450,1
11279,1
8590,1
14025,1
13306,1
15578,1
24724,1
5489,1
17001,0
3388,0
19177,1
22777,1
27800,1
27023,0
13570,1
24217,1
24785,1
30443,1
29740,1
27339,1
19485,1
11610,0
32470,1
2404,1
15447,0
25071,1
20537,0
31652,0
27351,1
272,1
17088,0
672,1
18991,1
22112,1
31239,1
18472,1
17336,0
10605,1
31337,1
7779,1
25764,0
12904,0
31629,1
15273,1
9033,0
14769,1
5888,1
24885,1
1608,1
26400,0
32359,1
21629,1
14989,1
11359,0
19131,1
1863,1
32513,0
4358,1
504,1
28748,0
22204,0
13319,1
768,1
20679,1
15811,1
27316,0
22413,1
13223,1
1368,0
17814,1
5139,1
32277,1
7186,1
7775,1
9570,1
29235,1
24849,1
11650,1
31272,0
2785,1
30616,1
32003,1
17551,0
13606,1
1459,0
9966,0
31865,1
20750,1
8432,1
26169,1
19841,1
5848,0
23970,0
7424,1
9998,1
18025,1
23007,1
8597,1
3120,1
7312,1
18698,1
13929,1
4184,1
7708,1
9447,1
6728,0
21602,0
4497,1
22888,1
743,1
7897,1
26424,1
21982,1
1407,0
29284,1
27807,1
17012,1
16820,1
18754,1
29129,1
7828,1
7239,1
26847,1
30231,1
11934,1
23513,1
19953,1
7031,0
18818,1
24088,1
28525,1
20172,1
14191,1
14139,1
22654,1
5962,1
18525,1
22965,1
16357,1
28466,1
27582,0
8292,1
1505,1
27384,1
2663,0
23906,1
13213,1
23188,1
19623,0
26274,1
25472,1
25597,1
26116,1
15204,0
16304,1
29955,0
12452,0
28530,0
8720,1
12768,1
6018,1
21685,1
20393,0
19845,1
466,1
8806,0
26692,1
9247,0
2995,1
11301,0
22017,0
6933,1
31025,1
6785,0
2026,0
9651,1
12772,1
134,1
489,0
19928,1
1748,1
17642,0
10543,0
24990,1
23861,1
24938,1
15852,0
6823,0
26651,1
17349,1
29716,1
19119,1
29755,0
31250,0
17664,1
17036,1
20208,1
22766,1
23459,0
13565,1
18473,0
26370,0
16341,1
21706,0
8139,0
2261,1
21644,1
27624,1
23520,1
28029,1
8971,1
183,0
9788,1
31705,1
30220,1
2270,1
18580,1
21920,1
10751,1
30325,0
8745,1
20197,1
26977,0
17763,1
12773,1
29963,1
16486,1
22177,1
7230,1
18067,1
14103,1
8695,1
32082,1
3819,1
28253,1
17110,0
13859,1
14131,1
20993,1
21462,1
21577,1
6515,1
3,1
14124,1
1777,1
14149,1
23508,1
8408,1
18484,1
26987,0
20255,0
9491,0
3694,1
19103,1
505,1
29475,1
29229,1
30052,0
31819,0
27151,1
18736,1
25581,0
4737,1
31332,1
8174,0
20362,0
3955,1
16315,1
10952,1
11172,1
24038,0
15979,1
13366,0
6174,1
23108,1
20127,0
18166,1
24553,1
12035,1
19343,1
13532,1
27036,1
29541,0
27175,1
31117,1
9761,0
917,0
32122,1
26783,1
18983,1
17901,0
20332,1
29486,1
25839,1
12087,1
3698,0
10950,1
1520,1
22126,1
4602,1
30667,0
11222,1
8313,1
20837,1
21683,1
11298,1
15683,1
11501,1
11310,1
864,1
8892,1
25758,1
8582,1
7459,1
24494,1
31972,0
18562,1
25582,1
23205,0
25276,1
30425,1
10362,0
13789,1
27857,1
30341,1
17777,1
11949,1
21198,0
18867,1
20114,1
30089,1
21609,1
31636,1
12925,1
4734,1
10518,1
4967,0
11256,1
4029,1
11932,1
14981,1
29893,1
18061,1
28171,1
22162,1
12472,1
15925,1
5031,0
12789,1
22998,1
23603,1
27478,1
7201,1
16530,1
20182,1
19398,1
4584,0
4573,1
20979,1
10701,1
10175,0
32537,1
9636,1
11904,0
4125,1
26755,1
12182,1
17798,1
25760,0
18268,1
28792,1
18134,1
13144,1
20050,1
28814,0
15765,1
5842,1
3168,0
9710,1
19849,0
26630,1
3718,1
23839,0
15821,1
31158,1
14976,1
19748,1
9604,1
826,1
23200,1
21532,1
15799,1
1943,0
20283,0
29889,0
14678,1
8717,1
9185,1
1471,1
15974,1
26880,0
10776,0
12821,1
10983,0
9041,0
9646,1
24340,1
21443,1
9107,1
12024,1
18112,0
2573,1
1524,1
26547,1
18621,1
12184,1
28573,1
15784,1
28275,1
12424,1
11299,1
76,1
5998,1
7794,1
17160,0
2040,1
7446,1
23224,0
30816,1
22956,1
31424,1
11546,1
20908,1
4976,0
19970,1
25797,1
13637,1
5994,1
2400,1
1964,1
20928,0
18175,1
16226,1
19577,0
32009,1
5562,1
13350,1
19753,0
2664,0
28498,1
29747,1
5587,1
2414,0
6780,1
20148,1
239,1
13274,0
711,1
6983,1
18535,0
10045,1
21944,1
30923,1
31700,1
348,1
25786,1
9428,1
15776,1
15934,1
5609,1
7569,1
24654,0
15897,1
30913,0
10488,1
15463,1
7033,0
16545,1
6528,0
23156,1
10833,1
21364,1
6233,0
398,0
11524,1
18708,1
4496,1
32081,0
9027,1
26572,1
16069,1
30007,1
10145,0
20732,1
1232,1
2461,1
6665,0
31287,1
5783,1
25148,1
402,0
4944,0
13869,1
10009,0
29038,0
17788,1
14797,1
21163,0
29779,1
22526,0
7821,1
6136,1
2255,1
8992,1
31767,1
12127,1
6479,1
9153,1
3175,0
29133,1
1540,1
23051,1
19188,1
10531,1
32026,1
18278,1
31442,0
13810,0
28600,1
8073,1
29332,1
124,1
14565,1
19661,1
14156,1
32339,1
23219,1
11047,1
24171,0
11411,1
9323,1
14486,1
28636,1
11339,1
26704,0
23083,1
11725,0
21980,1
1692,1
21745,1
9816,1
27835,1
8560,1
19159,1
31192,1
32517,1
6799,1
7139,1
96,0
18644,1
31289,1
28919,0
15920,0
18224,1
29533,1
3345,1
26963,0
26276,1
21874,0
17680,1
23071,1
9873,0
25379,1
26365,0
26733,1
28055,1
31367,0
845,1
31308,1
20513,0
11021,0
1017,1
26443,1
17555,1
29954,0
27932,1
29270,1
20755,1
4805,0
21926,1
663,1
32,1
22036,1
27654,1
5501,1
3329,1
29729,1
20361,1
2363,1
20984,0
13749,1
3252,0
2401,1
597,0
18024,1
12338,0
19539,1
1024,1
32535,1
26533,1
11463,1
13152,1
14172,0
18107,1
32350,1
3652,0
27374,1
1828,1
27962,1
1695,0
24754,1
26157,1
6374,1
24921,1
11467,0
21196,1
2939,1
4582,1
19808,1
8738,1
28233,0
6151,1
15346,1
22342,1
12157,0
30159,1
24347,1
18197,1
4068,1
16028,1
10115,1
1870,1
7931,0
19762,1
9902,1
25693,1
26499,1
20000,1
3391,1
11259,1
27320,1
1633,1
9083,1
11911,1
27360,1
9268,0
30945,0
7282,1
14569,1
13006,1
1632,0
15437,1
23105,1
22209,1
16244,1
24628,1
10128,1
3591,1
16137,1
19627,0
25130,1
28772,1
23155,1
31475,0
24746,0
13707,1
613,1
5826,1
16098,1
29083,1
16122,1
5767,0
22959,1
2033,1
20874,1
19101,1
19853,1
8999,1
27874,1
26254,1
29399,1
17207,0
6660,0
19914,1
19024,1
18054,0
24272,0
13094,1
22461,1
21358,0
376,1
1835,1
1476,1
22251,0
9993,1
10885,1
858,1
748,1
24874,0
11044,0
12875,0
3841,1
16322,1
28879,1
6183,1
17614,0
15688,1
20948,1
20823,0
14533,0
20800,0
17369,1
13536,1
27099,1
3012,0
18570,1
2203,1
15642,0
1663,1
31683,1
32205,1
14854,1
2944,1
5656,1
25474,1
29305,1
13584,1
15828,1
18948,0
7458,1
31744,0
4196,1
9916,0
30814,1
21952,1
32463,1
14543,1
13464,1
7641,0
6424,1
24655,1
30519,0
26627,0
4836,0
11958,1
22732,0
27216,0
32473,1
16968,1
6709,1
18214,0
22819,1
10957,1
24486,1
6048,1
4571,0
23396,1
27078,1
8594,0
26070,1
4076,1
28502,1
14813,1
10406,0
21425,1
15590,0
24909,1
27001,1
18590,1
15075,0
7712,1
7108,1
6708,0
12284,1
28805,0
18965,1
2953,1
27167,1
28621,1
2922,1
1515,1
30651,0
2421,1
2764,1
12534,1
3635,1
11115,1
11112,1
604,1
12801,1
19725,0
30465,1
21092,1
6161,1
9845,1
985,1
4254,1
19574,0
16380,1
32320,1
3940,1
19260,1
32140,1
30704,1
22208,0
12838,1
25904,0
9644,1
9036,1
27471,0
2971,0
16785,0
19643,0
1746,1
23412,1
4984,1
29349,1
27949,1
27994,0
2630,1
30862,1
23813,1
18935,0
3565,1
6540,1
17061,1
2647,1
26242,0
29707,1
15682,1
24191,0
30932,0
27033,1
28595,1
16152,0
31868,1
7760,1
7353,0
14894,0
27274,1
12831,0
20335,0
13125,0
14898,1
24436,0
3128,1
15935,1
30222,1
14694,1
19303,1
3613,1
20586,1
658,1
19127,1
9913,1
13798,1
20454,1
23973,0
13723,1
26894,1
930,1
2092,1
15195,1
21417,1
29202,1
30182,0
21636,1
7380,0
11117,1
7908,1
29321,1
18029,1
22984,0
47,1
3061,1
28190,1
23984,1
19862,1
31112,1
17106,1
386,1
17181,0
23104,1
20088,0
18183,0
16660,1
14501,1
18273,1
635,1
5431,0
18586,0
6980,1
28832,0
32459,1
14825,1
14364,1
10348,1
215,0
22650,1
4983,0
13472,1
19387,0
24687,1
2231,1
6829,1
27827,1
25989,0
24438,1
14490,1
7945,1
5262,1
31135,1
3846,1
19156,0
21522,1
2460,0
1341,1
32161,0
21324,1
26888,1
26203,1
27540,1
4282,1
2766,1
6093,1
20196,1
25602,1
10646,1
17188,1
28333,1
29151,1
7089,1
10825,1
29632,1
6071,1
28590,1
26634,1
4604,1
12466,1
4444,1
27223,1
23399,1
17294,1
23172,0
1156,0
22970,0
3109,1
30045,1
22115,1
405,0
25863,1
25530,1
17483,1
29684,1
906,1
19397,1
22762,0
25709,0
5508,1
15864,1
29291,0
14658,0
27548,1
20964,0
28121,1
22553,1
3348,1
6811,1
2755,1
25285,1
5407,0
29841,1
19417,0
7266,0
22184,1
7673,0
15018,0
5457,0
8987,1
15372,1
5148,1
23419,0
12548,1
30324,1
20838,1
75,1
19190,1
1891,1
29010,1
25460,0
28825,1
17546,1
11921,0
8552,1
28833,0
28048,1
246,0
31478,1
10084,1
16234,0
17795,1
2023,1
16872,1
24424,0
3732,0
27717,1
5660,0
17325,1
1967,1
9936,1
413,0
23070,1
794,0
337,1
16262,1
9555,1
11130,1
3077,0
20403,1
23862,1
6171,1
5737,1
7596,1
3333,0
18524,1
11881,1
7279,1
15345,0
20937,0
4412,1
14084,1
10163,1
31625,1
4357,1
29675,1
26474,1
22501,1
22689,1
28793,1
18119,1
3154,0
12302,1
25074,1
28910,0
787,1
5039,1
5892,1
32311,0
7502,1
17812,0
27158,1
21526,1
8119,0
4860,1
11818,1
19731,1
9222,1
6333,1
13428,1
8152,0
674,0
24226,1
15510,1
27459,1
18155,0
26921,1
20942,1
19155,1
6546,0
5903,1
7043,0
22915,1
2149,1
27013,1
25501,0
28126,0
11186,1
13758,1
16962,1
9404,1
31163,1
22985,0
30640,1
10133,1
20043,1
21533,1
18841,1
17615,1
30627,1
3064,0
24583,1
23197,1
3029,1
14478,1
8066,1
23833,1
6021,1
2739,1
27391,1
21538,1
26355,1
31484,1
8114,1
15660,0
8027,1
22637,0
24520,1
12590,1
58,1
19586,1
14551,1
16579,1
3770,1
7274,1
25373,1
10557,0
3100,1
5974,1
12177,1
17218,1
23595,1
18815,1
18617,1
4398,1
22739,1
30356,1
22389,0
5530,0
26691,1
3113,0
26548,1
29172,1
975,1
9603,1
28512,1
1873,1
25387,1
22562,1
15323,1
10631,1
32374,1
16669,0
4074,1
8689,1
19747,1
19144,1
30244,0
14753,1
15172,0
26845,1
29477,1
9203,1
28065,1
13196,1
991,1
29015,1
24944,1
29970,1
13743,1
15883,1
14475,1
30438,0
15922,1
12950,1
8635,1
27318,1
11880,1
1571,0
14676,0
26167,1
5423,1
27016,0
17254,0
17895,1
29003,1
28888,1
7419,1
28605,1
29966,1
22603,1
7495,1
2275,1
29692,1
7932,1
6826,1
27241,1
17511,1
30435,1
12524,1
17544,0
2441,1
18675,0
4295,1
1255,1
15409,0
16372,0
1178,1
3815,1
21550,1
19526,1
26092,1
23685,0
13002,1
20998,1
16783,1
22513,0
4903,0
14765,1
28327,1
29679,1
23446,0
5536,1
